partner_id,name,type,location,skills,expertise,past_projects,resources,availability
U001,Aranya Institute of Technology,University,Ranchi,"IoT; Sensors; Water Quality Monitoring; Environmental Engineering","Smart Water Systems; Environmental Monitoring","Rural Groundwater Monitoring; IoT Water Quality System","IoT Lab; Water Testing Lab; Field Team",Available
U002,National Institute of Rural Technology,University,Jamshedpur,"IoT; Embedded Systems; Renewable Energy; Sensors","Rural Technology; Embedded Systems","Smart Village Monitoring; Solar-Powered IoT System","Embedded Systems Lab; Solar Lab; IoT Lab",Available
U003,Eastern Institute of Computer Science,University,Ranchi,"AI; Machine Learning; Data Analytics; Computer Vision","Artificial Intelligence; Data Science","AI-Based Crop Disease Detection; Smart City Analytics","AI Lab; GPU Lab; Data Science Team",Available
U004,Greenfield University of Engineering,University,Dhanbad,"Waste Management; IoT; Automation; Embedded Systems","Smart Waste Management; Automation","Smart Waste Collection System; Automated Waste Segregation","Robotics Lab; IoT Lab; Automation Lab",Limited
U005,Institute of Environmental Sciences,University,Bokaro,"Environmental Engineering; Water Quality Monitoring; GIS; Data Analytics","Environmental Monitoring; Water Management","River Pollution Mapping; Groundwater Quality Assessment","Environmental Lab; GIS Lab; Water Testing Lab",Available
U006,Central Institute of Agricultural Technology,University,Ranchi,"AI; Computer Vision; IoT; Data Analytics","Smart Agriculture; Precision Farming","Crop Disease Detection; Smart Irrigation System","Agriculture Lab; IoT Lab; Research Farm",Available
U007,National Institute of Disaster Studies,Research Institute,Ranchi,"IoT; Sensors; Weather Data; GIS; Data Analytics","Disaster Management; Early Warning Systems","Flood Early Warning System; Landslide Risk Mapping","Sensor Network; GIS Lab; Weather Data Center",Available
U008,Institute of Renewable Energy Research,Research Institute,Jamshedpur,"Renewable Energy; IoT; Embedded Systems; Sensors","Solar Energy; Energy Monitoring","Smart Solar Microgrid; Solar Performance Monitoring","Solar Research Lab; IoT Lab; Power Electronics Lab",Available
U009,Advanced Healthcare Technology Institute,Research Institute,Bhubaneswar,"AI; Machine Learning; IoT; Healthcare; Data Analytics","Digital Healthcare; Medical Technology","Remote Patient Monitoring; AI Health Screening","Medical Lab; IoT Lab; Healthcare Research Team",Limited
U010,Institute of Robotics and Automation,University,Dhanbad,"Robotics; Computer Vision; AI; Embedded Systems; Sensors","Robotics; Industrial Automation","Autonomous Waste Sorting Robot; Smart Inspection Robot","Robotics Lab; Computer Vision Lab; 3D Printers",Available
U011,Rural Innovation University,University,Hazaribagh,"IoT; Renewable Energy; Agriculture; Sensors","Rural Innovation; Sustainable Technology","Solar Irrigation System; Village Water Monitoring","Innovation Lab; IoT Lab; Field Testing Team",Available
U012,Digital Governance Research Center,Research Institute,Ranchi,"AI; Data Analytics; GIS; Cybersecurity","Digital Governance; Public Systems","Citizen Grievance Analytics; Government Service Dashboard","Data Center; GIS Lab; AI Team",Available
I001,AquaSense Technologies,Industry,Ranchi,"IoT; Sensors; Water Quality Monitoring; Embedded Systems","Water Technology; IoT Solutions","Industrial Water Quality Monitoring; Smart Groundwater Sensors","Sensor Hardware; IoT Engineers; Field Deployment Team",Available
I002,GreenCycle Solutions,Industry,Jamshedpur,"Waste Management; IoT; Automation; Data Analytics","Waste Management Technology","Smart Waste Collection; Waste Segregation Monitoring","IoT Devices; Waste Processing Facility; Field Team",Available
I003,AgriVision Technologies,Industry,Ranchi,"AI; Computer Vision; Machine Learning; IoT","Agricultural Technology; Computer Vision","AI Crop Disease Detection; Smart Farm Monitoring","AI Engineers; Camera Systems; Agriculture Field Team",Available
I004,SafeCity Analytics,Industry,Bengaluru,"AI; Computer Vision; Data Analytics; GIS","Urban Analytics; Public Safety","Traffic Monitoring System; Urban Crowd Analytics","AI Platform; Computer Vision Systems; Data Engineers",Limited
I005,DisasterShield Systems,Industry,Bhubaneswar,"IoT; Sensors; Weather Data; Embedded Systems","Disaster Technology; Early Warning Systems","Flood Alert Network; Cyclone Monitoring Sensors","Sensor Network; Communication Systems; Field Engineers",Available
I006,SunGrid Energy Solutions,Industry,Jamshedpur,"Renewable Energy; IoT; Power Electronics; Embedded Systems","Renewable Energy; Smart Grids","Solar Microgrid Monitoring; Smart Energy Meter","Solar Hardware; Power Electronics Lab; Engineers",Available
I007,MedConnect Technologies,Industry,Bengaluru,"Healthcare; IoT; AI; Mobile Development; Data Analytics","Digital Healthcare; Telemedicine","Remote Health Monitoring; Rural Telemedicine Platform","Medical Devices; Cloud Platform; Healthcare Engineers",Available
I008,BuildSmart Infrastructure,Industry,Ranchi,"Embedded Systems; IoT; Sensors; GIS","Smart Infrastructure; Construction Technology","Smart Building Monitoring; Infrastructure Condition Monitoring","Sensor Hardware; GIS Team; Civil Engineers",Limited
N001,Jal Jeevan Community Foundation,NGO,Ranchi,"Water Quality Monitoring; Environmental Engineering; GIS; Community Development","Water Access; Community Water Management","Village Water Quality Survey; Community Water Monitoring","Field Volunteers; Water Testing Kits; Community Network",Available
N002,Gram Vikas Innovation Network,NGO,Hazaribagh,"Agriculture; Rural Development; Renewable Energy; IoT","Rural Development; Sustainable Technology","Solar Village Initiative; Smart Irrigation Pilot","Field Workers; Community Centers; Solar Equipment",Available
N003,Clean Earth Foundation,NGO,Dhanbad,"Waste Management; Environmental Engineering; Data Analytics","Waste Reduction; Environmental Awareness","Community Waste Segregation Program; Plastic Recovery Project","Collection Network; Volunteers; Awareness Teams",Available
N004,HealthReach Foundation,NGO,Bokaro,"Healthcare; Community Development; Data Analytics; Mobile Development","Rural Healthcare; Public Health Outreach","Mobile Health Camp Platform; Rural Health Survey","Medical Volunteers; Mobile Health Units; Community Network",Limited
N005,ClimateResilience Network,NGO,Bhubaneswar,"Disaster Management; GIS; Weather Data; Community Development","Climate Adaptation; Disaster Preparedness","Community Flood Preparedness; Climate Risk Mapping","GIS Team; Volunteers; Emergency Network",Available
